,precision,recall,f1-score,support
0,0.8665534303227236,0.8833847775351954,0.8748881598568446,13283.0
1,0.7501855976243504,0.789453125,0.7693186143890369,5120.0
2,0.0,0.0,0.0,90.0
3,0.6907216494845361,0.49663072776280326,0.57781262250098,1484.0
4,0.25,0.043478260869565216,0.07407407407407407,23.0
accuracy,0.8257,0.8257,0.8257,0.8257
macro avg,0.511492135486322,0.44258937823351285,0.4592186941641871,20000.0
weighted avg,0.8191080201324232,0.8257,0.8209614184272749,20000.0
