,precision,recall,f1-score,support
0,0.9939698492462311,0.5211925016938944,0.6838206242591861,13283.0
1,0.33860153256704983,0.276171875,0.3042168674698795,5120.0
2,0.004783648619265057,0.24444444444444444,0.009383663894220516,90.0
3,0.0026343519494204425,0.0033692722371967657,0.0029568302779420462,1484.0
4,0.008044030482641828,0.8260869565217391,0.015932914046121592,23.0
accuracy,0.41915,0.41915,0.41915,0.41915
macro avg,0.26960668257292164,0.374253009979455,0.20326217998946997,20000.0
weighted avg,0.7470533136825378,0.41915,0.532318931819328,20000.0
